Temp(°C),Temp(°F),Water Range(cm),Water Level,Turbidity(Voltage),Water Purity,pH level,target column
60.06,140.11,28,1,3.33,2,8.26,0
60.0,140.0,28,1,3.15,2,8.42,0
60.0,140.0,28,1,3.2,2,8.36,0
59.94,139.89,28,1,3.18,2,8.38,0
59.88,139.77,28,1,3.36,2,8.3,0
59.75,139.55,28,1,3.14,2,8.21,0
59.69,139.44,28,1,3.44,2,8.14,0
59.63,139.32,28,1,3.31,2,8.31,0
59.56,139.21,28,1,3.23,2,8.25,0
59.5,139.1,28,1,3.41,2,8.37,0
59.44,138.99,28,1,3.27,2,8.31,0
59.38,138.87,28,1,3.16,2,8.3,0
59.31,138.76,28,1,3.16,2,8.16,0
59.25,138.65,28,1,3.35,2,8.32,0
59.19,138.54,28,1,3.21,2,8.19,0
59.13,138.43,28,1,3.46,2,8.16,0
59.13,138.43,28,1,3.2,2,8.29,0
59.06,138.31,28,1,3.43,2,8.24,0
59.0,138.2,28,1,3.24,2,8.28,0
58.94,138.09,28,1,3.28,2,8.27,0
58.88,137.97,28,1,3.28,2,8.22,0
58.81,137.86,28,1,3.44,2,8.05,0
58.75,137.75,28,1,3.42,2,8.29,0
58.69,137.64,28,1,3.2,2,8.12,0
58.63,137.52,28,1,3.44,2,8.35,0
58.56,137.41,28,1,3.47,2,8.28,0
58.5,137.3,28,1,3.4,2,8.32,0
58.5,137.3,28,1,3.39,2,8.28,0
58.44,137.19,28,1,3.44,2,8.13,0
58.38,137.07,28,1,3.35,2,8.3,0
58.31,136.96,28,1,3.2,2,8.18,0
58.25,136.85,28,1,3.44,2,8.25,0
58.19,136.74,28,1,3.38,2,8.42,0
58.13,136.62,28,1,3.43,2,8.3,0
58.06,136.51,28,1,3.39,2,8.19,0
58.0,136.4,28,1,3.45,2,8.27,0
58.0,136.4,28,1,3.19,2,8.31,0
57.94,136.29,28,1,3.22,2,8.29,0
57.81,136.06,28,1,3.27,2,8.35,0
57.81,136.06,28,1,3.21,2,8.27,0
57.75,135.95,28,1,3.41,2,8.26,0
57.69,135.84,28,1,3.21,2,8.23,0
57.63,135.72,28,1,3.32,2,8.12,0
57.56,135.61,28,1,3.38,2,8.11,0
57.56,135.61,28,1,3.21,2,8.25,0
57.5,135.5,28,1,3.44,2,8.26,0
57.44,135.39,28,1,3.45,2,8.19,0
57.38,135.27,28,1,3.49,2,8.27,0
57.31,135.16,28,1,3.48,2,8.23,0
57.19,134.94,28,1,3.26,2,8.2,0
57.13,134.82,28,1,3.32,2,8.26,0
57.06,134.71,28,1,3.13,2,8.04,0
57.0,134.6,28,1,3.41,2,8.14,0
57.0,134.6,28,1,3.4,2,8.26,0
56.94,134.49,28,1,3.18,2,8.19,0
56.88,134.37,28,1,3.24,2,8.02,0
56.81,134.26,28,1,3.49,2,8.24,0
56.75,134.15,28,1,3.47,2,8.27,0
56.69,134.04,28,1,3.19,2,7.99,0
56.63,133.93,28,1,3.48,2,8.15,0
56.56,133.81,28,1,3.4,2,8.23,0
56.56,133.81,28,1,3.47,2,8.22,0
56.5,133.7,28,1,3.22,2,8.2,0
56.44,133.59,28,1,3.5,2,8.17,0
56.38,133.47,28,1,3.44,2,8.37,0
56.31,133.36,28,1,3.33,2,8.21,0
56.31,133.36,28,1,3.39,2,8.12,0
56.25,133.25,28,1,3.45,2,8.24,0
56.19,133.14,28,1,3.28,2,7.94,0
56.13,133.02,28,1,3.4,2,8.07,0
56.13,133.02,28,1,3.23,2,8.16,0
56.06,132.91,28,1,3.3,2,8.33,0
56.0,132.8,28,1,3.22,2,8.11,0
55.94,132.69,28,1,3.17,2,8.14,0
55.94,132.69,28,1,3.44,2,8.06,0
55.81,132.46,28,1,3.32,2,8.16,0
55.75,132.35,28,1,3.4,2,8.16,0
55.69,132.24,28,1,3.23,2,8.19,0
55.63,132.12,28,1,3.2,2,8.35,0
55.56,132.01,28,1,3.32,2,8.31,0
55.5,131.9,28,1,3.43,2,8.32,0
55.44,131.79,28,1,3.48,2,8.19,0
55.44,131.79,28,1,3.41,2,8.18,0
55.31,131.56,28,1,3.38,2,8.17,0
55.25,131.45,28,1,3.49,2,8.28,0
55.19,131.34,28,1,3.31,2,8.25,0
55.19,131.34,28,1,3.4,2,8.12,0
55.06,131.11,28,1,3.24,2,8.13,0
55.0,131.0,28,1,3.36,2,8.12,0
55.0,131.0,28,1,3.45,2,8.17,0
54.94,130.89,28,1,3.28,2,8.03,0
54.94,130.89,28,1,3.45,2,8.23,0
54.88,130.77,28,1,3.49,2,7.93,0
54.81,130.66,28,1,3.24,2,8.28,0
54.81,130.66,28,1,3.43,2,8.1,0
54.69,130.44,28,1,3.43,2,8.19,0
54.69,130.44,28,1,3.32,2,8.44,0
54.63,130.32,28,1,3.47,2,8.27,0
54.5,130.1,28,1,3.18,2,8.24,0
54.5,130.1,28,1,3.48,2,8.31,0
54.44,129.99,28,1,3.37,2,8.28,0
54.38,129.87,28,1,3.29,2,8.3,0
54.31,129.76,28,1,3.17,2,8.31,0
54.25,129.65,28,1,3.25,2,8.21,0
54.25,129.65,27,1,3.39,2,8.23,0
54.19,129.54,28,1,3.23,2,8.21,0
54.06,129.31,28,1,3.21,2,8.22,0
54.06,129.31,28,1,3.43,2,8.24,0
54.0,129.2,28,1,3.23,2,8.18,0
53.94,129.09,28,1,3.36,2,8.12,0
53.88,128.97,28,1,3.34,2,8.21,0
53.88,128.97,28,1,3.48,2,7.94,0
53.75,128.75,28,1,3.4,2,8.37,0
53.69,128.64,28,1,3.35,2,8.24,0
53.63,128.52,28,1,3.4,2,8.18,0
53.56,128.41,28,1,3.3,2,8.35,0
53.5,128.3,28,1,3.32,2,8.19,0
53.5,128.3,28,1,3.23,2,8.24,0
53.44,128.19,28,1,3.26,2,8.21,0
53.38,128.07,28,1,3.26,2,8.4,0
53.31,127.96,28,1,3.25,2,8.17,0
53.31,127.96,28,1,3.23,2,8.09,0
53.25,127.85,28,1,3.45,2,8.33,0
53.25,127.85,28,1,3.43,2,8.26,0
53.13,127.62,28,1,3.47,2,8.29,0
53.13,127.62,28,1,3.4,2,8.32,0
53.06,127.51,28,1,3.48,2,8.37,0
53.06,127.51,28,1,3.44,2,8.24,0
52.88,127.17,28,1,3.45,2,8.13,0
52.88,127.17,28,1,3.47,2,8.36,0
52.75,126.95,28,1,3.19,2,8.31,0
52.75,126.95,28,1,3.23,2,8.34,0
52.63,126.72,28,1,3.48,2,8.3,0
52.63,126.72,28,1,3.28,2,8.45,0
52.56,126.61,28,1,3.26,2,8.03,0
52.56,126.61,28,1,3.32,2,8.15,0
52.5,126.5,28,1,3.39,2,8.23,0
52.44,126.39,28,1,3.28,2,8.37,0
52.25,126.05,28,1,3.28,2,8.2,0
52.13,125.82,28,1,3.4,2,8.34,0
52.06,125.71,28,1,3.32,2,8.23,0
52.0,125.6,28,1,3.38,2,8.3,0
52.0,125.6,28,1,3.39,2,8.39,0
51.88,125.37,28,1,3.4,2,8.03,0
51.88,125.37,28,1,3.44,2,8.27,0
51.81,125.26,28,1,3.46,2,8.28,0
51.75,125.15,28,1,3.25,2,8.36,0
51.69,125.04,28,1,3.44,2,8.31,0
51.5,124.7,28,1,3.28,2,8.21,0
51.44,124.59,28,1,3.47,2,8.28,0
51.44,124.59,28,1,3.46,2,8.36,0
51.38,124.47,28,1,3.44,2,8.35,0
51.38,124.47,28,1,3.2,2,8.32,0
51.31,124.36,28,1,3.4,2,8.28,0
51.25,124.25,28,1,3.25,2,8.21,0
51.25,124.25,28,1,3.25,2,8.23,0
51.19,124.14,28,1,3.21,2,8.03,0
51.13,124.02,28,1,3.31,2,8.43,0
51.13,124.02,28,1,3.35,2,8.23,0
51.06,123.91,28,1,3.37,2,8.2,0
51.06,123.91,28,1,3.45,2,8.31,0
51.06,123.91,28,1,3.45,2,8.25,0
50.94,123.69,28,1,3.23,2,8.21,0
50.94,123.69,28,1,3.35,2,8.32,0
50.94,123.69,28,1,3.28,2,8.28,0
50.88,123.57,28,1,3.43,2,8.35,0
50.81,123.46,28,1,3.23,2,8.27,0
50.69,123.24,28,1,3.45,2,8.33,0
50.69,123.24,28,1,3.38,2,8.33,0
50.63,123.12,28,1,3.41,2,8.37,0
50.5,122.9,28,1,3.43,2,8.32,0
50.44,122.79,28,1,3.4,2,8.24,0
50.38,122.67,28,1,3.28,2,8.14,0
50.25,122.45,28,1,3.49,2,8.36,0
50.19,122.34,28,1,3.32,2,8.34,0
50.13,122.22,28,1,3.36,2,8.3,0
49.94,121.89,28,1,3.34,2,8.28,0
49.81,121.66,28,1,3.4,2,8.2,0
49.81,121.66,28,1,3.47,2,8.33,0
49.69,121.44,28,1,3.43,2,8.27,0
49.63,121.32,28,1,3.36,2,8.33,0
49.56,121.21,28,1,3.47,2,8.33,0
49.5,121.1,28,1,3.42,2,8.32,0
49.5,121.1,28,1,3.43,2,8.39,0
49.38,120.87,28,1,3.36,2,8.27,0
49.31,120.76,28,1,3.37,2,8.31,0
49.19,120.54,28,1,3.43,2,8.35,0
49.13,120.42,28,1,3.5,2,8.32,0
48.88,119.97,28,1,3.46,2,8.28,0
48.88,119.97,28,1,3.36,2,7.95,0
48.88,119.97,28,1,3.48,2,8.26,0
48.81,119.86,28,1,3.31,2,8.32,0
48.75,119.75,28,1,3.43,2,8.13,0
48.75,119.75,28,1,3.4,2,8.13,0
48.69,119.64,28,1,3.46,2,8.27,0
48.56,119.41,28,1,3.43,2,8.17,0
48.56,119.41,28,1,3.4,2,8.25,0
48.38,119.07,28,1,3.33,2,8.34,0
48.31,118.96,28,1,3.49,2,8.09,0
48.25,118.85,28,1,3.33,2,8.24,0
43.69,110.64,28,1,3.4,2,8.18,0
39.75,103.55,28,1,3.49,2,8.2,0
38.31,100.96,28,1,3.44,2,8.29,0
37.06,98.71,28,1,3.28,2,7.82,0
36.0,96.8,28,1,3.44,2,8.02,0
35.19,95.34,28,1,3.32,2,8.19,0
34.31,93.76,28,1,3.43,2,8.22,0
32.56,90.61,28,1,3.4,2,8.39,0
32.13,89.82,28,1,3.32,2,8.17,0
31.25,88.25,28,1,3.47,2,8.42,0
30.87,87.57,28,1,3.49,2,8.19,0
30.5,86.9,28,1,3.24,2,8.29,0
65.69,150.24,28,1,3.25,2,8.34,0
71.06,159.91,28,1,3.43,2,8.28,0
71.44,160.59,28,1,3.32,2,8.23,0
71.75,161.15,28,1,3.4,2,8.22,0
71.62,160.93,28,1,3.31,2,8.33,0
71.56,160.81,28,1,3.43,2,8.29,0
71.37,160.47,28,1,3.35,2,8.35,0
71.25,160.25,28,1,3.48,2,8.19,0
71.06,159.91,28,1,3.45,2,8.23,0
70.94,159.69,28,1,3.43,2,8.4,0
70.81,159.46,28,1,3.35,2,8.27,0
70.62,159.12,28,1,3.37,2,8.22,0
70.5,158.9,28,1,3.47,2,8.24,0
70.37,158.68,28,1,3.48,2,8.09,0
70.25,158.45,28,1,3.27,2,8.33,0
70.12,158.22,28,1,3.32,2,8.37,0
69.87,157.77,28,1,3.36,2,8.36,0
69.56,157.21,28,1,3.39,2,8.15,0
69.5,157.1,28,1,3.44,2,8.36,0
69.25,156.65,28,1,3.3,2,8.31,0
69.06,156.31,28,1,3.48,2,8.34,0
68.94,156.09,27,1,3.49,2,8.28,0
68.87,155.97,28,1,3.28,2,8.28,0
68.87,155.97,28,1,3.36,2,8.38,0
68.75,155.75,28,1,3.31,2,8.25,0
68.69,155.64,28,1,3.45,2,8.26,0
68.62,155.52,28,1,3.33,2,8.28,0
68.5,155.3,28,1,3.4,2,8.3,0
68.44,155.19,28,1,3.32,2,8.38,0
68.06,154.51,28,1,3.32,2,8.31,0
68.0,154.4,28,1,3.44,2,8.16,0
67.94,154.29,28,1,3.46,2,8.25,0
67.62,153.72,28,1,3.43,2,8.26,0
67.5,153.5,28,1,3.34,2,8.28,0
67.31,153.16,28,1,3.33,2,8.41,0
67.19,152.94,28,1,3.45,2,8.29,0
67.12,152.82,28,1,3.4,2,8.08,0
66.81,152.26,28,1,3.48,2,8.2,0
66.56,151.81,28,1,3.32,2,8.32,0
66.19,151.14,28,1,3.37,2,8.07,0
65.94,150.69,28,1,3.43,2,8.32,0
65.87,150.57,28,1,3.4,2,8.3,0
65.81,150.46,28,1,3.43,2,8.25,0
65.69,150.24,28,1,3.43,2,8.32,0
65.37,149.68,28,1,3.47,2,8.34,0
65.12,149.22,28,1,3.38,2,8.25,0
64.87,148.77,28,1,3.49,2,8.2,0
64.62,148.32,28,1,3.4,2,8.35,0
64.56,148.21,28,1,3.46,2,8.37,0
64.56,148.21,28,1,3.42,2,8.17,0
64.44,147.99,28,1,0.96,2,8.29,0
64.37,147.87,28,1,0.5,2,8.31,0
64.31,147.76,28,1,0.37,2,8.23,0
64.25,147.65,27,1,0.16,2,8.32,0
64.19,147.54,28,1,0.39,2,8.24,0
64.12,147.43,28,1,0.43,2,8.35,0
64.0,147.2,28,1,0.32,2,8.06,0
64.0,147.2,28,1,0.45,2,8.3,0
63.94,147.09,28,1,0.72,2,8.1,0
63.94,147.09,28,1,1.05,2,8.38,0
63.88,146.97,28,1,1.76,2,8.31,0
63.75,146.75,28,1,2.07,2,8.0,0
63.69,146.64,28,1,2.43,2,8.21,0
63.63,146.52,28,1,2.11,2,8.4,0
63.5,146.3,28,1,2.34,2,8.29,0
63.44,146.19,28,1,2.47,2,7.95,0
63.44,146.19,28,1,2.64,2,8.38,0
63.31,145.96,28,1,2.55,2,8.32,0
63.25,145.85,28,1,2.46,2,7.99,0
63.19,145.74,28,1,2.46,2,8.39,0
63.19,145.74,28,1,2.62,2,8.02,0
63.13,145.62,28,1,2.57,2,8.34,0
63.0,145.4,28,1,2.71,2,8.35,0
63.0,145.4,28,1,2.86,2,8.24,0
62.94,145.29,28,1,2.85,2,8.37,0
62.88,145.18,28,1,2.8,2,8.31,0
62.81,145.06,28,1,2.88,2,8.34,0
62.69,144.84,28,1,2.81,2,8.38,0
62.63,144.72,28,1,2.89,2,8.31,0
62.63,144.72,28,1,2.63,2,8.31,0
62.56,144.61,28,1,2.84,2,8.29,0
62.5,144.5,28,1,2.6,2,8.19,0
62.44,144.39,28,1,2.63,2,8.26,0
62.38,144.27,28,1,2.65,2,7.85,0
62.31,144.16,28,1,2.66,2,8.16,0
62.25,144.05,28,1,2.88,2,8.29,0
62.19,143.94,28,1,2.66,2,8.09,0
62.13,143.82,28,1,2.74,2,8.16,0
62.06,143.71,28,1,2.66,2,8.34,0
62.0,143.6,28,1,2.7,2,8.21,0
61.94,143.49,28,1,2.83,2,8.21,0
61.88,143.37,28,1,2.89,2,8.32,0
61.81,143.26,28,1,2.81,2,8.28,0
61.75,143.15,28,1,2.81,2,8.15,0
61.69,143.04,28,1,2.69,2,8.29,0
61.69,143.04,28,1,2.93,2,8.18,0
61.56,142.81,28,1,2.86,2,8.31,0
61.5,142.7,28,1,2.97,2,8.07,0
61.44,142.59,28,1,2.84,2,8.24,0
61.44,142.59,28,1,2.85,2,8.25,0
61.31,142.36,28,1,2.91,2,8.2,0
61.31,142.36,28,1,2.85,2,8.06,0
61.25,142.25,28,1,2.86,2,8.21,0
61.19,142.14,28,1,2.74,2,8.07,0
61.13,142.02,28,1,2.99,2,8.26,0
61.06,141.91,28,1,2.94,2,8.31,0
61.0,141.8,28,1,3.01,2,8.24,0
60.94,141.69,28,1,2.77,2,8.24,0
60.88,141.57,28,1,2.78,2,8.17,0
60.81,141.46,28,1,2.85,2,8.29,0
60.75,141.35,28,1,3.02,2,8.21,0
60.69,141.24,28,1,3.08,2,8.23,0
60.63,141.12,28,1,2.96,2,8.36,0
60.63,141.12,28,1,2.91,2,8.16,0
60.56,141.01,28,1,2.89,2,8.06,0
60.5,140.9,28,1,3.0,2,8.28,0
60.44,140.79,28,1,3.09,2,8.28,0
60.44,140.79,28,1,3.16,2,8.26,0
60.38,140.68,28,1,3.09,2,8.24,0
60.25,140.45,28,1,2.85,2,8.38,0
60.25,140.45,28,1,2.88,2,8.33,0
60.13,140.22,28,1,3.09,2,8.37,0
60.06,140.11,28,1,2.89,2,8.27,0
60.0,140.0,28,1,3.11,2,8.37,0
59.94,139.89,28,1,3.06,2,8.23,0
59.88,139.77,28,1,3.2,2,8.26,0
59.88,139.77,28,1,3.08,2,8.34,0
59.75,139.55,28,1,3.23,2,8.06,0
59.75,139.55,28,1,3.05,2,8.38,0
