TIME,Temp(°C),Temp(°F),Water Range(cm),Water Level,Turbidity(Voltage),Water Purity,pH level,target column
02:43.4,50.31,122.56,28,Low,3.59,Little cloudy,8.28,Impure
02:48.0,50.31,122.56,28,Low,3.61,Little cloudy,8.26,Impure
03:02.0,50.13,122.22,28,Low,3.58,Little cloudy,8.23,Impure
03:11.3,50.06,122.11,28,Low,3.55,Little cloudy,8.23,Impure
03:15.9,50,122,28,Low,3.56,Little cloudy,8.15,Impure
03:20.6,49.94,121.89,28,Low,3.53,Little cloudy,8.27,Impure
03:29.9,49.88,121.77,28,Low,3.63,Little cloudy,8.29,Impure
03:43.8,49.69,121.44,28,Low,3.56,Little cloudy,7.74,Impure
03:48.5,49.75,121.55,28,Low,3.5,Little cloudy,8.19,Impure
03:57.8,49.63,121.32,28,Low,3.6,Little cloudy,8.14,Impure
04:11.7,49.5,121.1,28,Low,3.51,Little cloudy,8.32,Impure
04:25.7,49.44,120.99,28,Low,3.52,Little cloudy,8.35,Impure
04:35.0,49.31,120.76,28,Low,3.57,Little cloudy,8.37,Impure
04:44.3,49.25,120.65,28,Low,3.55,Little cloudy,8.24,Impure
04:53.6,49.19,120.54,28,Low,3.53,Little cloudy,8.31,Impure
05:02.9,49.06,120.31,28,Low,3.55,Little cloudy,8.36,Impure
05:07.5,49.06,120.31,28,Low,3.58,Little cloudy,8.25,Impure
05:12.2,49,120.2,28,Low,3.55,Little cloudy,8.37,Impure
05:16.8,49,120.2,28,Low,3.56,Little cloudy,8.27,Impure
05:21.5,48.94,120.09,28,Low,3.51,Little cloudy,8.37,Impure
05:30.8,48.94,120.09,28,Low,3.51,Little cloudy,8.15,Impure
05:44.7,48.81,119.86,28,Low,3.59,Little cloudy,8.28,Impure
06:03.3,48.69,119.64,28,Low,3.64,Little cloudy,8.16,Impure
06:08.0,48.69,119.64,28,Low,3.55,Little cloudy,8.36,Impure
06:17.3,48.63,119.52,28,Low,3.55,Little cloudy,8.11,Impure
06:26.6,48.56,119.41,28,Low,3.55,Little cloudy,8.37,Impure
06:35.9,48.5,119.3,28,Low,3.55,Little cloudy,8.28,Impure
06:40.5,48.44,119.19,28,Low,3.53,Little cloudy,8.35,Impure
06:54.5,48.31,118.96,28,Low,3.6,Little cloudy,8.42,Impure
07:03.8,46.44,115.59,28,Low,3.56,Little cloudy,8.42,Impure
07:13.1,41.56,106.81,28,Low,3.59,Little cloudy,8.09,Impure
07:45.6,33.56,92.41,28,Low,3.56,Little cloudy,8.37,Impure
07:50.3,33,91.4,28,Low,3.54,Little cloudy,8.39,Impure
08:04.2,31.69,89.04,28,Low,3.61,Little cloudy,8.3,Impure
08:22.8,40,104,28,Low,3.55,Little cloudy,7.94,Impure
08:27.4,58.56,137.41,28,Low,3.56,Little cloudy,8.28,Impure
08:36.8,68.75,155.75,28,Low,3.54,Little cloudy,8.13,Impure
08:41.4,70.31,158.56,28,Low,3.61,Little cloudy,8.31,Impure
08:55.4,71.62,160.93,28,Low,3.52,Little cloudy,8.23,Impure
10:00.6,70,158,28,Low,3.55,Little cloudy,8.36,Impure
10:09.9,69.75,157.55,28,Low,3.6,Little cloudy,8.31,Impure
10:14.5,69.69,157.44,28,Low,3.66,Little cloudy,8.06,Impure
10:28.5,69.37,156.87,27,Low,3.63,Little cloudy,8.33,Impure
10:33.2,69.31,156.76,28,Low,3.64,Little cloudy,8.19,Impure
10:42.5,69.19,156.54,28,Low,3.61,Little cloudy,8.36,Impure
10:47.1,69.12,156.43,28,Low,3.55,Little cloudy,8.26,Impure
11:19.7,68.69,155.64,28,Low,3.64,Little cloudy,8.33,Impure
11:38.3,68.37,155.07,28,Low,3.58,Little cloudy,8.2,Impure
11:43.0,68.31,154.96,28,Low,3.59,Little cloudy,8.05,Impure
11:47.7,68.19,154.74,28,Low,3.59,Little cloudy,8.27,Impure
12:06.3,67.94,154.29,28,Low,3.52,Little cloudy,8.34,Impure
12:10.9,67.87,154.18,28,Low,3.56,Little cloudy,8.32,Impure
12:15.6,67.81,154.06,28,Low,3.53,Little cloudy,8.31,Impure
12:20.2,67.75,153.95,28,Low,3.61,Little cloudy,8.27,Impure
12:24.9,67.69,153.84,28,Low,3.53,Little cloudy,8.39,Impure
12:38.9,67.44,153.39,28,Low,3.56,Little cloudy,8.11,Impure
12:43.5,67.37,153.27,28,Low,3.59,Little cloudy,8.37,Impure
13:06.8,66.69,152.04,28,Low,3.58,Little cloudy,8.24,Impure
13:11.5,66.62,151.93,28,Low,3.52,Little cloudy,8.28,Impure
13:20.8,66.5,151.7,28,Low,3.57,Little cloudy,8.28,Impure
13:25.4,66.44,151.59,28,Low,3.63,Little cloudy,8.26,Impure
13:30.1,66.31,151.36,28,Low,3.55,Little cloudy,8.17,Impure
13:39.4,66.12,151.02,28,Low,3.6,Little cloudy,8.31,Impure
13:45.0,66,150.8,28,Low,3.6,Little cloudy,835,Impure
14:02.7,65.75,150.35,28,Low,3.59,Little cloudy,8.33,Impure
14:12.0,65.62,150.12,28,Low,3.58,Little cloudy,8.28,Impure
14:16.6,65.56,150.01,28,Low,3.54,Little cloudy,8.33,Impure
14:21.3,65.44,149.79,28,Low,3.59,Little cloudy,8.01,Impure
14:30.6,65.25,149.45,28,Low,3.6,Little cloudy,8.35,Impure
14:39.9,65.12,149.22,28,Low,3.65,Little cloudy,8.31,Impure
14:44.6,65,149,28,Low,3.61,Little cloudy,8.23,Impure
14:49.2,64.94,148.89,28,Low,3.67,Little cloudy,8.24,Impure
14:58.5,64.81,148.66,28,Low,3.53,Little cloudy,8.24,Impure
15:03.2,64.75,148.55,28,Low,3.65,Little cloudy,8.23,Impure
15:21.8,64.44,147.99,28,Low,3.56,Little cloudy,7.78,Impure
36:40.4,38.69,101.64,27,Low,3.57,Muddy,8.39,Impure
36:45.0,38.69,101.64,28,Low,3.44,Muddy,8.25,Impure
36:49.6,38.69,101.64,28,Low,3.46,Muddy,8.37,Impure
36:54.3,38.69,101.64,27,Low,3.33,Muddy,8.31,Impure
36:58.9,38.63,101.53,27,Low,3.34,Muddy,8.36,Impure
37:03.6,38.63,101.53,27,Low,3.39,Muddy,8.19,Impure
37:12.9,38.56,101.41,28,Low,3.31,Muddy,8.33,Impure
37:17.5,38.56,101.41,28,Low,3.35,Muddy,8.22,Impure
37:26.8,38.56,101.41,28,Low,3.48,Muddy,8.02,Impure
37:31.5,38.56,101.41,28,Low,3.42,Muddy,8.2,Impure
37:36.1,38.5,101.3,28,Low,3.28,Muddy,8.32,Impure
37:40.8,38.5,101.3,28,Low,3.44,Muddy,8.27,Impure
37:45.4,38.44,101.19,28,Low,3.45,Muddy,8.03,Impure
38:04.0,38.38,101.07,28,Low,3.37,Muddy,8.24,Impure
38:08.7,38.38,101.07,28,Low,0.77,Muddy,8.21,Impure
38:13.3,38.38,101.07,27,Low,1.01,Muddy,8.28,Impure
38:18.0,38.38,101.07,28,Low,1.21,Muddy,8.31,Impure
38:22.6,38.38,101.07,28,Low,1.29,Muddy,8.27,Impure
38:27.3,38.31,100.96,27,Low,1.43,Muddy,8.14,Impure
38:31.9,38.31,100.96,28,Low,1.53,Muddy,8.22,Impure
38:36.6,38.38,101.07,27,Low,1.75,Muddy,8.21,Impure
38:41.2,38.38,101.07,28,Low,2.19,Muddy,8.36,Impure
38:45.9,38.25,100.85,27,Low,2.15,Muddy,8.03,Impure
38:50.5,38.25,100.85,27,Low,2.22,Muddy,8.42,Impure
38:55.2,38.31,100.96,28,Low,2.34,Muddy,8.4,Impure
38:59.8,38.25,100.85,28,Low,2.7,Muddy,8.33,Impure
39:04.4,37.31,99.16,28,Low,2.62,Muddy,8.23,Impure
39:09.1,35.94,96.69,28,Low,2.78,Muddy,8.17,Impure
39:13.7,35,95,28,Low,2.72,Muddy,7.87,Impure
39:18.4,34.06,93.31,28,Low,2.55,Muddy,8.09,Impure
39:23.0,33.31,91.96,28,Low,2.84,Muddy,8.41,Impure
39:27.7,32.56,90.61,28,Low,2.76,Muddy,8.18,Impure
39:32.3,32.06,89.71,28,Low,2.84,Muddy,8.28,Impure
39:37.0,31.44,88.59,28,Low,2.89,Muddy,8.35,Impure
39:41.6,31,87.8,28,Low,2.89,Muddy,8.39,Impure
39:46.3,30.56,87.01,28,Low,2.78,Muddy,8.28,Impure
39:50.9,30.12,86.22,28,Low,2.85,Muddy,8.24,Impure
39:55.6,29.75,85.55,28,Low,3.03,Muddy,8.14,Impure
40:00.2,29.37,84.87,28,Low,3.07,Muddy,8.22,Impure
40:04.9,29.06,84.31,28,Low,3.03,Muddy,8.25,Impure
40:09.5,30.19,86.34,28,Low,2.96,Muddy,8.19,Impure
40:14.2,50.75,123.35,28,Low,2.88,Muddy,8.36,Impure
40:18.8,58.31,136.96,28,Low,3.2,Muddy,8.31,Impure
40:23.5,61.81,143.26,28,Low,2.96,Muddy,8.25,Impure
40:28.1,63.81,146.86,28,Low,3.12,Muddy,8.22,Impure
40:32.8,65.12,149.22,28,Low,3.1,Muddy,8.32,Impure
40:37.4,65.94,150.69,28,Low,2.97,Muddy,8.32,Impure
40:42.1,66.44,151.59,28,Low,2.98,Muddy,8.3,Impure
40:46.7,66.62,151.93,28,Low,2.92,Muddy,8.34,Impure
40:51.4,66.75,152.15,28,Low,3.25,Muddy,8.19,Impure
40:56.0,66.81,152.26,28,Low,3.09,Muddy,8.25,Impure
41:00.7,66.87,152.37,28,Low,3.12,Muddy,8.3,Impure
41:05.4,66.81,152.26,28,Low,3.12,Muddy,8.24,Impure
41:10.0,66.69,152.04,28,Low,3.05,Muddy,8.3,Impure
41:14.7,66.62,151.93,28,Low,3.29,Muddy,8.31,Impure
41:19.3,66.44,151.59,28,Low,3.22,Muddy,8.19,Impure
41:24.0,66.31,151.36,28,Low,3.31,Muddy,8.36,Impure
41:28.6,66.31,151.36,28,Low,3.05,Muddy,8.23,Impure
41:33.3,66.19,151.14,28,Low,3.07,Muddy,8.34,Impure
41:37.9,66.06,150.91,28,Low,3.22,Muddy,8.37,Impure
41:42.6,65.94,150.69,28,Low,3.05,Muddy,8.37,Impure
41:47.3,65.81,150.46,28,Low,3.01,Muddy,8.28,Impure
41:51.9,65.75,150.35,28,Low,3.01,Muddy,8.22,Impure
41:56.6,65.62,150.12,28,Low,3.12,Muddy,8.28,Impure
42:01.2,65.5,149.9,28,Low,3.09,Muddy,8.23,Impure
42:05.9,65.44,149.79,28,Low,3.14,Muddy,8.21,Impure
42:10.5,65.37,149.68,28,Low,3.23,Muddy,8.27,Impure
42:15.2,65.25,149.45,28,Low,3.12,Muddy,8.32,Impure
42:19.8,65.12,149.22,28,Low,2.98,Muddy,8.42,Impure
42:24.5,65.06,149.11,28,Low,3.32,Muddy,8.09,Impure
42:29.1,65,149,28,Low,3.02,Muddy,8.41,Impure
42:33.8,64.87,148.77,28,Low,3.16,Muddy,8.38,Impure
42:38.5,64.75,148.55,28,Low,3.28,Muddy,8.4,Impure
42:43.1,64.62,148.32,28,Low,3.28,Muddy,8.27,Impure
42:47.8,64.56,148.21,28,Low,3.04,Muddy,8.16,Impure
42:52.4,64.5,148.1,28,Low,3.23,Muddy,8.24,Impure
42:57.1,64.37,147.87,28,Low,3.36,Muddy,8.25,Impure
43:01.7,64.31,147.76,28,Low,3.19,Muddy,8.21,Impure
43:06.4,64.19,147.54,28,Low,3.07,Muddy,8.34,Impure
43:11.0,64.12,147.43,28,Low,3.24,Muddy,8.16,Impure
43:15.7,64,147.2,28,Low,3.33,Muddy,8.15,Impure
43:20.3,63.94,147.09,28,Low,3.03,Muddy,8.17,Impure
43:25.0,63.88,146.97,28,Low,3.24,Muddy,8.25,Impure
43:29.7,63.69,146.64,28,Low,3.01,Muddy,8.29,Impure
43:34.3,63.69,146.64,28,Low,3.09,Muddy,8.16,Impure
43:39.0,63.56,146.41,28,Low,3.02,Muddy,8.24,Impure
43:43.6,63.5,146.3,28,Low,3.05,Muddy,8.24,Impure
43:48.3,63.44,146.19,28,Low,3.15,Muddy,8.35,Impure
43:52.9,63.38,146.07,28,Low,3.3,Muddy,8.12,Impure
43:57.6,63.25,145.85,28,Low,3.4,Muddy,8.35,Impure
44:02.2,63.19,145.74,28,Low,3.13,Muddy,8.32,Impure
44:06.9,63.06,145.51,28,Low,3.08,Muddy,8.28,Impure
44:11.5,63,145.4,28,Low,3.09,Muddy,8.34,Impure
44:16.2,62.94,145.29,28,Low,3.26,Muddy,8.21,Impure
44:20.8,62.81,145.06,28,Low,3.24,Muddy,8.2,Impure
44:25.5,62.75,144.95,28,Low,3.41,Muddy,7.91,Impure
44:30.2,62.69,144.84,28,Low,3.33,Muddy,8.34,Impure
44:34.8,62.56,144.61,28,Low,3.32,Muddy,8.35,Impure
44:39.5,62.5,144.5,28,Low,3.19,Muddy,8.31,Impure
44:44.1,62.44,144.39,28,Low,3.2,Muddy,8.45,Impure
44:48.8,62.31,144.16,28,Low,3.22,Muddy,8.33,Impure
44:53.4,62.25,144.05,28,Low,3.37,Muddy,8.36,Impure
44:58.1,62.19,143.94,28,Low,3.35,Muddy,8.3,Impure
45:02.7,62.13,143.82,28,Low,3.11,Muddy,8.32,Impure
45:07.4,62,143.6,28,Low,3.2,Muddy,8.18,Impure
45:12.0,62,143.6,28,Low,3.15,Muddy,8.27,Impure
45:16.7,61.88,143.37,28,Low,3.19,Muddy,8.2,Impure
45:21.4,61.81,143.26,28,Low,3.31,Muddy,8.3,Impure
45:26.0,61.69,143.04,28,Low,3.41,Muddy,8.32,Impure
45:30.7,61.69,143.04,28,Low,3.38,Muddy,8.31,Impure
45:35.3,61.63,142.93,28,Low,3.22,Muddy,8.19,Impure
45:40.0,61.56,142.81,28,Low,3.19,Muddy,8.3,Impure
45:44.6,61.5,142.7,28,Low,3.36,Muddy,8.26,Impure
45:49.3,61.44,142.59,28,Low,3.37,Muddy,8.34,Impure
45:53.9,61.31,142.36,28,Low,3.26,Muddy,8.28,Impure
45:58.6,61.31,142.36,28,Low,3.09,Muddy,8.24,Impure
46:03.2,61.19,142.14,28,Low,3.4,Muddy,8.37,Impure
46:07.9,61.13,142.02,28,Low,3.39,Muddy,8.24,Impure
46:12.5,61.06,141.91,28,Low,3.27,Muddy,8.2,Impure
46:17.2,61,141.8,27,Low,3.34,Muddy,8.26,Impure
46:21.8,60.94,141.69,28,Low,3.17,Muddy,8.28,Impure
46:26.5,60.81,141.46,28,Low,3.48,Muddy,8.24,Impure
46:31.2,60.75,141.35,28,Low,3.41,Muddy,8.34,Impure
46:35.8,60.69,141.24,28,Low,3.13,Muddy,8.31,Impure
46:40.5,60.63,141.12,28,Low,3.39,Muddy,8.2,Impure
46:45.1,60.5,140.9,28,Low,3.33,Muddy,8.31,Impure
46:49.8,60.44,140.79,28,Low,3.43,Muddy,8.37,Impure
46:54.4,60.38,140.68,28,Low,3.35,Muddy,8.28,Impure
46:59.1,60.31,140.56,28,Low,3.43,Muddy,8.26,Impure
47:03.7,60.25,140.45,28,Low,3.26,Muddy,8.31,Impure
47:08.4,60.19,140.34,28,Low,3.36,Muddy,8.32,Impure
47:13.0,60.13,140.22,28,Low,3.24,Muddy,8.32,Impure
47:17.7,60.06,140.11,28,Low,3.33,Muddy,8.26,Impure
47:22.3,60,140,28,Low,3.15,Muddy,8.42,Impure
47:27.0,60,140,28,Low,3.2,Muddy,8.36,Impure
47:31.7,59.94,139.89,28,Low,3.18,Muddy,8.38,Impure
47:36.3,59.88,139.77,28,Low,3.36,Muddy,8.3,Impure
47:40.9,59.75,139.55,28,Low,3.14,Muddy,8.21,Impure
47:45.6,59.69,139.44,28,Low,3.44,Muddy,8.14,Impure
47:50.3,59.63,139.32,28,Low,3.31,Muddy,8.31,Impure
47:54.9,59.56,139.21,28,Low,3.23,Muddy,8.25,Impure
47:59.6,59.5,139.1,28,Low,3.41,Muddy,8.37,Impure
48:04.2,59.44,138.99,28,Low,3.27,Muddy,8.31,Impure
48:08.9,59.38,138.87,28,Low,3.16,Muddy,8.3,Impure
48:13.5,59.31,138.76,28,Low,3.16,Muddy,8.16,Impure
48:18.2,59.25,138.65,28,Low,3.35,Muddy,8.32,Impure
48:22.8,59.19,138.54,28,Low,3.21,Muddy,8.19,Impure
48:27.5,59.13,138.43,28,Low,3.46,Muddy,8.16,Impure
48:32.1,59.13,138.43,28,Low,3.2,Muddy,8.29,Impure
48:36.8,59.06,138.31,28,Low,3.43,Muddy,8.24,Impure
48:41.4,59,138.2,28,Low,3.24,Muddy,8.28,Impure
48:46.1,58.94,138.09,28,Low,3.28,Muddy,8.27,Impure
48:50.7,58.88,137.97,28,Low,3.28,Muddy,8.22,Impure
48:55.4,58.81,137.86,28,Low,3.44,Muddy,8.05,Impure
49:00.0,58.75,137.75,28,Low,3.42,Muddy,8.29,Impure
49:04.7,58.69,137.64,28,Low,3.2,Muddy,8.12,Impure
49:09.4,58.63,137.52,28,Low,3.44,Muddy,8.35,Impure
49:14.0,58.56,137.41,28,Low,3.47,Muddy,8.28,Impure
49:18.7,58.5,137.3,28,Low,3.4,Muddy,8.32,Impure
49:23.3,58.5,137.3,28,Low,3.39,Muddy,8.28,Impure
49:28.0,58.44,137.19,28,Low,3.44,Muddy,8.13,Impure
49:32.6,58.38,137.07,28,Low,3.35,Muddy,8.3,Impure
49:37.3,58.31,136.96,28,Low,3.2,Muddy,8.18,Impure
49:41.9,58.25,136.85,28,Low,3.44,Muddy,8.25,Impure
49:46.6,58.19,136.74,28,Low,3.38,Muddy,8.42,Impure
49:51.2,58.13,136.62,28,Low,3.43,Muddy,8.3,Impure
49:55.9,58.06,136.51,28,Low,3.39,Muddy,8.19,Impure
50:00.5,58,136.4,28,Low,3.45,Muddy,8.27,Impure
50:05.2,58,136.4,28,Low,3.19,Muddy,8.31,Impure
50:09.8,57.94,136.29,28,Low,3.22,Muddy,8.29,Impure
50:14.5,57.81,136.06,28,Low,3.27,Muddy,8.35,Impure
50:19.2,57.81,136.06,28,Low,3.21,Muddy,8.27,Impure
50:23.8,57.75,135.95,28,Low,3.41,Muddy,8.26,Impure
50:28.5,57.69,135.84,28,Low,3.21,Muddy,8.23,Impure
50:33.1,57.63,135.72,28,Low,3.32,Muddy,8.12,Impure
50:37.8,57.56,135.61,28,Low,3.38,Muddy,8.11,Impure
50:42.4,57.56,135.61,28,Low,3.21,Muddy,8.25,Impure
50:47.1,57.5,135.5,28,Low,3.44,Muddy,8.26,Impure
50:51.7,57.44,135.39,28,Low,3.45,Muddy,8.19,Impure
50:56.4,57.38,135.27,28,Low,3.49,Muddy,8.27,Impure
51:01.0,57.31,135.16,28,Low,3.48,Muddy,8.23,Impure
51:10.3,57.19,134.94,28,Low,3.26,Muddy,8.2,Impure
51:15.0,57.13,134.82,28,Low,3.32,Muddy,8.26,Impure
51:19.6,57.06,134.71,28,Low,3.13,Muddy,8.04,Impure
51:24.3,57,134.6,28,Low,3.41,Muddy,8.14,Impure
51:28.9,57,134.6,28,Low,3.4,Muddy,8.26,Impure
51:33.6,56.94,134.49,28,Low,3.18,Muddy,8.19,Impure
51:38.2,56.88,134.37,28,Low,3.24,Muddy,8.02,Impure
51:42.9,56.81,134.26,28,Low,3.49,Muddy,8.24,Impure
51:47.5,56.75,134.15,28,Low,3.47,Muddy,8.27,Impure
51:52.2,56.69,134.04,28,Low,3.19,Muddy,7.99,Impure
51:56.8,56.63,133.93,28,Low,3.48,Muddy,8.15,Impure
52:01.5,56.56,133.81,28,Low,3.4,Muddy,8.23,Impure
52:06.2,56.56,133.81,28,Low,3.47,Muddy,8.22,Impure
52:10.8,56.5,133.7,28,Low,3.22,Muddy,8.2,Impure
52:15.5,56.44,133.59,28,Low,3.5,Muddy,8.17,Impure
52:20.1,56.38,133.47,28,Low,3.44,Muddy,8.37,Impure
52:24.8,56.31,133.36,28,Low,3.33,Muddy,8.21,Impure
52:29.4,56.31,133.36,28,Low,3.39,Muddy,8.12,Impure
52:34.1,56.25,133.25,28,Low,3.45,Muddy,8.24,Impure
52:38.7,56.19,133.14,28,Low,3.28,Muddy,7.94,Impure
52:43.4,56.13,133.02,28,Low,3.4,Muddy,8.07,Impure
52:48.0,56.13,133.02,28,Low,3.23,Muddy,8.16,Impure
52:52.7,56.06,132.91,28,Low,3.3,Muddy,8.33,Impure
52:57.3,56,132.8,28,Low,3.22,Muddy,8.11,Impure
53:02.0,55.94,132.69,28,Low,3.17,Muddy,8.14,Impure
53:06.6,55.94,132.69,28,Low,3.44,Muddy,8.06,Impure
53:15.9,55.81,132.46,28,Low,3.32,Muddy,8.16,Impure
53:25.2,55.75,132.35,28,Low,3.4,Muddy,8.16,Impure
53:29.9,55.69,132.24,28,Low,3.23,Muddy,8.19,Impure
53:34.5,55.63,132.12,28,Low,3.2,Muddy,8.35,Impure
53:39.2,55.56,132.01,28,Low,3.32,Muddy,8.31,Impure
53:48.5,55.5,131.9,28,Low,3.43,Muddy,8.32,Impure
53:53.1,55.44,131.79,28,Low,3.48,Muddy,8.19,Impure
53:57.8,55.44,131.79,28,Low,3.41,Muddy,8.18,Impure
54:02.4,55.31,131.56,28,Low,3.38,Muddy,8.17,Impure
54:07.1,55.25,131.45,28,Low,3.49,Muddy,8.28,Impure
54:11.7,55.19,131.34,28,Low,3.31,Muddy,8.25,Impure
54:16.4,55.19,131.34,28,Low,3.4,Muddy,8.12,Impure
54:25.7,55.06,131.11,28,Low,3.24,Muddy,8.13,Impure
54:30.4,55,131,28,Low,3.36,Muddy,8.12,Impure
54:35.0,55,131,28,Low,3.45,Muddy,8.17,Impure
54:39.7,54.94,130.89,28,Low,3.28,Muddy,8.03,Impure
54:44.3,54.94,130.89,28,Low,3.45,Muddy,8.23,Impure
54:49.0,54.88,130.77,28,Low,3.49,Muddy,7.93,Impure
54:53.6,54.81,130.66,28,Low,3.24,Muddy,8.28,Impure
54:58.3,54.81,130.66,28,Low,3.43,Muddy,8.1,Impure
55:02.9,54.69,130.44,28,Low,3.43,Muddy,8.19,Impure
55:07.6,54.69,130.44,28,Low,3.32,Muddy,8.44,Impure
55:12.2,54.63,130.32,28,Low,3.47,Muddy,8.27,Impure
55:21.5,54.5,130.1,28,Low,3.18,Muddy,8.24,Impure
55:26.2,54.5,130.1,28,Low,3.48,Muddy,8.31,Impure
55:30.8,54.44,129.99,28,Low,3.37,Muddy,8.28,Impure
55:35.5,54.38,129.87,28,Low,3.29,Muddy,8.3,Impure
55:40.1,54.31,129.76,28,Low,3.17,Muddy,8.31,Impure
55:44.8,54.25,129.65,28,Low,3.25,Muddy,8.21,Impure
55:49.4,54.25,129.65,27,Low,3.39,Muddy,8.23,Impure
55:54.1,54.19,129.54,28,Low,3.23,Muddy,8.21,Impure
55:58.7,54.06,129.31,28,Low,3.21,Muddy,8.22,Impure
56:03.4,54.06,129.31,28,Low,3.43,Muddy,8.24,Impure
56:08.0,54,129.2,28,Low,3.23,Muddy,8.18,Impure
56:12.7,53.94,129.09,28,Low,3.36,Muddy,8.12,Impure
56:17.3,53.88,128.97,28,Low,3.34,Muddy,8.21,Impure
56:22.0,53.88,128.97,28,Low,3.48,Muddy,7.94,Impure
56:35.9,53.75,128.75,28,Low,3.4,Muddy,8.37,Impure
56:40.6,53.69,128.64,28,Low,3.35,Muddy,8.24,Impure
56:45.3,53.63,128.52,28,Low,3.4,Muddy,8.18,Impure
56:49.9,53.56,128.41,28,Low,3.3,Muddy,8.35,Impure
56:54.5,53.5,128.3,28,Low,3.32,Muddy,8.19,Impure
56:59.2,53.5,128.3,28,Low,3.23,Muddy,8.24,Impure
57:03.8,53.44,128.19,28,Low,3.26,Muddy,8.21,Impure
57:08.5,53.38,128.07,28,Low,3.26,Muddy,8.4,Impure
57:13.2,53.31,127.96,28,Low,3.25,Muddy,8.17,Impure
57:17.8,53.31,127.96,28,Low,3.23,Muddy,8.09,Impure
57:22.5,53.25,127.85,28,Low,3.45,Muddy,8.33,Impure
57:27.1,53.25,127.85,28,Low,3.43,Muddy,8.26,Impure
57:36.4,53.13,127.62,28,Low,3.47,Muddy,8.29,Impure
57:41.1,53.13,127.62,28,Low,3.4,Muddy,8.32,Impure
57:45.7,53.06,127.51,28,Low,3.48,Muddy,8.37,Impure
57:50.4,53.06,127.51,28,Low,3.44,Muddy,8.24,Impure
58:04.3,52.88,127.17,28,Low,3.45,Muddy,8.13,Impure
58:09.0,52.88,127.17,28,Low,3.47,Muddy,8.36,Impure
58:13.6,52.75,126.95,28,Low,3.19,Muddy,8.31,Impure
58:18.3,52.75,126.95,28,Low,3.23,Muddy,8.34,Impure
58:22.9,52.63,126.72,28,Low,3.48,Muddy,8.3,Impure
58:27.6,52.63,126.72,28,Low,3.28,Muddy,8.45,Impure
58:32.2,52.56,126.61,28,Low,3.26,Muddy,8.03,Impure
58:36.9,52.56,126.61,28,Low,3.32,Muddy,8.15,Impure
58:41.5,52.5,126.5,28,Low,3.39,Muddy,8.23,Impure
58:50.8,52.44,126.39,28,Low,3.28,Muddy,8.37,Impure
59:04.8,52.25,126.05,28,Low,3.28,Muddy,8.2,Impure
59:14.1,52.13,125.82,28,Low,3.4,Muddy,8.34,Impure
59:18.7,52.06,125.71,28,Low,3.32,Muddy,8.23,Impure
59:23.4,52,125.6,28,Low,3.38,Muddy,8.3,Impure
59:28.0,52,125.6,28,Low,3.39,Muddy,8.39,Impure
59:37.3,51.88,125.37,28,Low,3.4,Muddy,8.03,Impure
